-99.99,-1.706,-1.214,-1.51,-1.273,-0.88,-0.332,-0.482,-0.549,-0.89,-24.652,-24.761,-1.696,-1.886
-4.426,-11.251,-10.527,-11.042,-10.459,-20.08,-26.319,-21.072,-21.973,-33.226,-26.706,-26.692,-1.788,-2.032
-4.355,-99.99,-99.99,-70.146,-99.99,-99.99,-26.56,-21.959,-21.992,-33.229,NaN,NaN,NaN,NaN
-4.423,-1.67,-1.181,-1.433,-1.274,-0.9,-62.744,-99.99,-99.99,-99.99,NaN,NaN,NaN,NaN
-4.524,-11.224,-99.99,-10.901,-10.427,-20.075,-0.326,-0.333,-0.618,-0.43,NaN,NaN,NaN,NaN
-99.99,-83.481,-11.179,-99.99,-99.99,-99.99,-0.414,-0.708,-0.3935,-0.726,NaN,NaN,NaN,NaN
-57.523,NaN,NaN,NaN,NaN,NaN,-63.276,-99.99,NaN,-99.99,NaN,NaN,NaN,NaN
-4.429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-99.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
